SPECIALITY,SET DISCRIPTION,NAME,CATEGORY,BRIEF,DISCRIPTION ,TYPE,USAGE,IMPORTANT CONSIDERATIONS,CLEANING & STERILIZATION,INSPECTION & MAINTENANCE,REFERENCE IMAGES
Thoracic Surgery,"These instruments are used in surgery to remove a lobe of the lung,","Mosquito Artery Forceps, Curved, 5""",,,,,,,,,
,,"Mosquito Artery Forceps, Straight, 5""",,,,,,,,,
,,"Artery Forceps, Curved, 6""",,,,,,,,,
,,"Artery Forceps, Straight, 6""",,,,,,,,,
,,"Allis Tissue Forceps 7""",,,,,,,,,
,,"Kocher Artery Forceps Curved 7""",,,,,,,,,
,,"Babcock Tissue Forceps 7""",,,,,,,,,
,,"Babcock Tissue Forceps 8""",,,,,,,,,
,,"Allis Tissue Forceps 8""",,,,,,,,,
,,"Kocher Artery Forceps Curved 8""",,,,,,,,,
,,"Kocher Artery Forceps Straight 8""",,,,,,,,,
,,"Tonsillier Artery Forceps , Curved,8"" ",,,,,,,,,
,,"Artery Forceps, Curved, 8""",,,,,,,,,
,,"Artery Forceps, Straight, 8""",,,,,,,,,
,,"Mixter Right Angle Forceps 8""",,"A Mixter right-angle forceps (8"") is a surgical instrument with a 90-degree angle, serrated jaws, and a locking mechanism, commonly used for grasping and dissecting tissue or clamping vessels in hard-to-reach areas.","Design: The forceps have a right-angled jaw, which allows surgeons to work effectively in hard-to-reach or obscured areas of the body, such as deep surgical cavities.
Jaws: The inside of the jaws typically features serrations or cross-serrations that enhance the grip on tissue or blood vessels, preventing slippage during procedures.
Locking mechanism: These forceps have a ratcheted handle that allows them to be securely locked in place once they have clamped down, freeing the surgeon's hand.",,Mixter forceps are primarily used as hemostats for clamping blood vessels but can also be used for dissecting and grasping tissue during a variety of surgical procedures,,"They are constructed from high-grade stainless steel, which makes them durable, corrosion-resistant, and reusable after sterilization through autoclaving",,
,,"Mayo Heggar Needle Holder 8""",,,,,,,,,
,,"Duval Lung Grasping Forceps 20mm 9""",,,,,,,,,
,,"Sponge Holding Forceps 10""",,,,,,,,,
,,"Metzenbaum Scissors Curved 8""",,,,,,,,,
,,"Metzenbaum Scissors Straight 8""",,,,,,,,,
,,"Price Thomas Bronchus Clamp  8 3/4""",,"The ""Thomas Bronchus Clamp 8 3/4"""" is a surgical instrument used in cardiothoracic surgery to clamp or occlude the bronchus, or large airways, during lung procedures like a pneumonectomy. It is also known as the Price-Thomas Bronchus Clamp","Design: The clamp is a scissor-like, hand-held instrument with finger-ring handles and a ratchet mechanism to provide a self-retaining, secure grip.
Jaws: It has long, double-angled jaws with round, blunt edges and longitudinal serrations to provide an atraumatic grip that fits the anatomy of the bronchus. Some models also feature pins on one jaw to further secure the tissue.
Length: An 8 3/4"" (22 cm or 225 mm) overall length is commonly available.",,,,"It is typically made from high-quality, surgical-grade stainless steel, ensuring durability and corrosion resistance after repeated sterilization.",,
,,"Micro Suction Tip With Thumb Control,No.4",,,,,,,,,
,,Allisson Lung Retractor Adult,,,,,,,,,
,,"Dissecting Forceps,Toothed, 8""    ",,,,,,,,,
,,"Dissecting Forceps, Non-Toothed, 8""    ",,,,,,,,,
,,,,,,,,,,,
,,"Debakey Vascular Dissecting Forceps, 2mm  Jaw, 9 1/2""",,"A DeBakey Vascular Dissecting Forceps with 2mm jaw and 9 1/2"" length is an atraumatic surgical instrument primarily used for grasping and manipulating delicate tissue and blood vessels during cardiovascular and vascular procedures. The fine, serrated jaws minimize damage to delicate tissue, while the length allows for use in deep surgical cavities. ","Material: High-grade surgical stainless steel, which is durable, corrosion-resistant, and autoclavable.
Jaw style: The 2mm jaws feature fine, atraumatic serrations to provide a secure, non-slip grip on delicate tissues with minimal trauma.
Length: The 9 1/2"" (approx. 24.1 cm) length is a standard size, ideal for reaching deeper surgical fields.
Jaw profile: The jaws can be either straight or angled, with straight jaws being a common configuration for this size.",,"Intended use: These forceps are a key tool in vascular and cardiovascular surgery for handling delicate structures like arteries and veins. They can also be used in microvascular and other general surgical procedures where precise tissue handling is required.
Minimal tissue trauma: The fine, 1x2 row serration pattern is designed to distribute grasping pressure evenly across the tissue, preventing crushing and minimizing trauma.
High precision: The delicate tips and ergonomic design allow for fine-motor control, which is essential for complex procedures.
Ergonomic handle: The ribbed, spring-action handle provides a comfortable and secure grip, which helps reduce hand fatigue during long surgical procedures. ",,,,
,,"Dissecting Forceps, Non-Toothed, 7""    ",,,,,,,,,
,,"Dissecting Forceps, Non-Toothed, 6""    ",,,,,,,,,
,,"Backhaus Towel Clip 5""",,,,,,,,,
,,B.P.Handle No.3,,,,,,,,,
,,,,,,,,,,,
,,"Weitlaner S/R Retractor Straight 8""",,"A Weitlaner self-retaining (S/R) retractor is a scissor-like surgical instrument used to hold back soft tissues and expose a surgical site. A straight 8-inch model is a larger version of this instrument, designed for deep or larger surgical fields.","Self-retaining mechanism: The retractor uses a cam ratchet lock to hold the blades open to the desired width, freeing the surgeon's hands for other tasks.
Ring handles: These provide the surgeon with a comfortable and secure grip on the instrument.
Straight shanks and arms: The 8-inch straight configuration is designed for use in deeper surgical cavities or where broader retraction is needed.
Blades with prongs: The blades, typically in a 3x4 configuration (3 prongs on one side, 4 on the other), have outward-curving teeth that interdigitate when closed. The prongs can be either sharp or blunt, depending on the specific application.
Material: Made from surgical-grade stainless steel, the instrument is durable, corrosion-resistant, and can be sterilized for repeated ",,"The Weitlaner retractor is a versatile instrument used in a variety of surgical procedures, including: 
General surgery: For retracting shallow incisions.
Orthopedic surgery: In procedures involving bones and joints.
Neurosurgery: Such as during a craniotomy to hold back the scalp.
Vascular surgery: Used for procedures like a femoropopliteal bypass.
Plastic surgery: For skin and soft tissue procedures.
Mastoid surgery: Including mastoidectomy, to retract tissue near the ear. ",,,,
,,Langenbeck Retractor  ( Any Size ),,Done,,,,,,,
,,"Dissecting Forceps, Toothed, 7""   ",,Done,,,,,,,
,,"Dissecting Forceps, Toothed, 6""   ",,Done,,,,,,,
