SPECIALITY,SET DISCRIPTION,NAME,CATEGORY,BRIEF,DISCRIPTION ,TYPE,USAGE,IMPORTANT CONSIDERATIONS,CLEANING & STERILIZATION,INSPECTION & MAINTENANCE,REFERENCE IMAGES
Thoracic Surgery,"Thoracic surgery instrument sets are used for procedures on the heart, lungs, esophagus, and other chest organs and include specialized tools for rib removal, tissue manipulation, and vessel control in both open and minimally invasive approaches.",,,,,,,,,,
,,"Mosquito Artery Forceps, Curved, 5""",General,"It is a surgical instrument, a type of ratcheted hemostat, used for clamping small blood vessels to control bleeding during procedures. A tapered design for access into narrow spaces, and ergonomic finger rings for superior control and handling. Made from corrosion-resistant stainless steel, it is a reliable, reusable, and sterilizable tool for various surgical, dental, and wound care applications.  ","Type: A specialized hemostat or clamp with a ratchet locking mechanism. 
Jaws: Tapered jaws with fine, transverse serrations to grip delicate tissues and blood vessels without damaging them. 
Finger Rings: Ergonomically designed rings that allow surgeons to hold the instrument securely, providing superior control and preventing slippage. 
Shafts: Elongated shafts provide access to deeper surgical areas. 
Material:Constructed from high-quality, premium-grade stainless steel for durability, corrosion resistance, and ease of sterilization. 
Versatility: Available in both straight and curved profiles to suit different surgical approaches and the specific needs of the procedure. ",,"Clamping Blood Vessels: Its primary function is to clamp and secure small arteries to stop blood flow during surgery. 
Tissue Handling: Used to grasp and hold delicate tissues and sutures. 
Surgical Access: The tapered jaws and elongated shafts allow for access into tight and narrow surgical spaces. 
Atraumatic Grip: The serrated jaws provide a secure, yet atraumatic grasp, crucial for delicate structures. 
Procedure Control: The ratchet mechanism allows for adjustable clamping pressure, giving surgeons precise control over the amount of pressure applied to the tissue or vessel. 
Applications: Widely used in various medical fields, including general surgery, dental procedures, microsurgery, wound closure, and other specialized operations. ",,"Pre-cleaning: Clean the instrument immediately after use to prevent the drying of biological matter. 
Solution: Use a neutral pH (pH 7) cleaning solution for manual or ultrasonic cleaning. 
Process: Clean the retractor in its open position to ensure thorough and effective cleaning of all parts. 
Tools: Use soft cloths, soft plastic brushes made of nylon, or water spray guns for cleaning. 
Drying: Dry instruments completely before sterilization or storage to prevent rust and microbial growth","Lubrication 
Frequency: Lubricate the movable and jointed parts of the retractor once a month.
Lubricant: Use a high-quality, surgical-grade instrument lubricant; do not use industrial oils.
Application: Ensure the lubricant reaches all moving parts for smooth operation and to prevent seizing.
Storage 
Environment: Store surgical instruments in a dry, clean environment.
Protection: Seal away instruments to prevent exposure to moisture, which can lead to oxidation and rust.
Inspection: Before use, visually inspect the retractor for any signs of corrosion, damage, or wear.",
,,"Mosquito Artery Forceps, Straight, 5""",General,"It is a surgical instrument, a type of ratcheted hemostat, used for clamping small blood vessels to control bleeding during procedures. A tapered design for access into narrow spaces, and ergonomic finger rings for superior control and handling. Made from corrosion-resistant stainless steel, it is a reliable, reusable, and sterilizable tool for various surgical, dental, and wound care applications.  ","Type: A specialized hemostat or clamp with a ratchet locking mechanism. 
Jaws: Tapered jaws with fine, transverse serrations to grip delicate tissues and blood vessels without damaging them. 
Finger Rings: Ergonomically designed rings that allow surgeons to hold the instrument securely, providing superior control and preventing slippage. 
Shafts: Elongated shafts provide access to deeper surgical areas. 
Material:Constructed from high-quality, premium-grade stainless steel for durability, corrosion resistance, and ease of sterilization. 
Versatility: Available in both straight and curved profiles to suit different surgical approaches and the specific needs of the procedure. ",,"Clamping Blood Vessels: Its primary function is to clamp and secure small arteries to stop blood flow during surgery. 
Tissue Handling: Used to grasp and hold delicate tissues and sutures. 
Surgical Access: The tapered jaws and elongated shafts allow for access into tight and narrow surgical spaces. 
Atraumatic Grip: The serrated jaws provide a secure, yet atraumatic grasp, crucial for delicate structures. 
Procedure Control: The ratchet mechanism allows for adjustable clamping pressure, giving surgeons precise control over the amount of pressure applied to the tissue or vessel. 
Applications: Widely used in various medical fields, including general surgery, dental procedures, microsurgery, wound closure, and other specialized operations. ",,"Pre-cleaning: Clean the instrument immediately after use to prevent the drying of biological matter. 
Solution: Use a neutral pH (pH 7) cleaning solution for manual or ultrasonic cleaning. 
Process: Clean the retractor in its open position to ensure thorough and effective cleaning of all parts. 
Tools: Use soft cloths, soft plastic brushes made of nylon, or water spray guns for cleaning. 
Drying: Dry instruments completely before sterilization or storage to prevent rust and microbial growth","Lubrication 
Frequency: Lubricate the movable and jointed parts of the retractor once a month.
Lubricant: Use a high-quality, surgical-grade instrument lubricant; do not use industrial oils.
Application: Ensure the lubricant reaches all moving parts for smooth operation and to prevent seizing.
Storage 
Environment: Store surgical instruments in a dry, clean environment.
Protection: Seal away instruments to prevent exposure to moisture, which can lead to oxidation and rust.
Inspection: Before use, visually inspect the retractor for any signs of corrosion, damage, or wear.",
,,"Artery Forceps, Curved, 6""",General,"It is a surgical instrument, also called a hemostat, used to clamp and control blood flow by grasping and compressing blood vessels during medical, veterinary, and laboratory procedures","Structure: An artery forceps consists of two arms that come together to form jaws, designed to grasp and hold tissue or blood vessels. 
Jaws: The jaws are typically serrated, meaning they have ridges that provide a firm, secure grip. Some may also have teeth for extra security. 
Handle: The handle provides a grip for the user to operate the forceps. 
Locking mechanism: Many artery forceps feature a ratchet mechanism that keeps the jaws locked closed once applied, allowing for hands-free hemostasis. ","Straight Forceps: These have straight jaws, used for clamping vessels and tissues in easily accessible areas. 
Curved Forceps: With curved jaws, these provide better maneuverability and access to blood vessels in confined or hard-to-reach spaces. 
","Hemostasis: The primary use is to clamp arteries and veins to control bleeding during surgery, maintaining a clear surgical field. 
Grasping Tissues: They can also be used to grasp and manipulate tissues, sutures, and other prosthetic materials. 
Ligation: After clamping a vessel, the forceps hold it in place for ligation (tying it off), which permanently stops blood flow. 
Dissection: Some forceps, like Adson forceps, are used for delicate dissection and to provide a clear view of the surgical site","Tissue Damage: As forceps are crushing instruments, proper technique and appropriate forceps size are crucial to avoid damaging delicate tissues. 
Application: The choice between straight or curved forceps, and their size, depends on the location and type of structure being addressed. ","Pre-cleaning: Clean the instrument immediately after use to prevent the drying of biological matter. 
Solution: Use a neutral pH (pH 7) cleaning solution for manual or ultrasonic cleaning. 
Process: Clean the retractor in its open position to ensure thorough and effective cleaning of all parts. 
Tools: Use soft cloths, soft plastic brushes made of nylon, or water spray guns for cleaning. 
Drying: Dry instruments completely before sterilization or storage to prevent rust and microbial growth","Lubrication 
Frequency: Lubricate the movable and jointed parts of the retractor once a month.
Lubricant: Use a high-quality, surgical-grade instrument lubricant; do not use industrial oils.
Application: Ensure the lubricant reaches all moving parts for smooth operation and to prevent seizing.
Storage 
Environment: Store surgical instruments in a dry, clean environment.
Protection: Seal away instruments to prevent exposure to moisture, which can lead to oxidation and rust.
Inspection: Before use, visually inspect the retractor for any signs of corrosion, damage, or wear.",
,,"Artery Forceps, Straight, 6""",General,"It is a surgical instrument, also called a hemostat, used to clamp and control blood flow by grasping and compressing blood vessels during medical, veterinary, and laboratory procedures","Structure: An artery forceps consists of two arms that come together to form jaws, designed to grasp and hold tissue or blood vessels. 
Jaws: The jaws are typically serrated, meaning they have ridges that provide a firm, secure grip. Some may also have teeth for extra security. 
Handle: The handle provides a grip for the user to operate the forceps. 
Locking mechanism: Many artery forceps feature a ratchet mechanism that keeps the jaws locked closed once applied, allowing for hands-free hemostasis. ","Straight Forceps: These have straight jaws, used for clamping vessels and tissues in easily accessible areas. 
Curved Forceps: With curved jaws, these provide better maneuverability and access to blood vessels in confined or hard-to-reach spaces. 
","Hemostasis: The primary use is to clamp arteries and veins to control bleeding during surgery, maintaining a clear surgical field. 
Grasping Tissues: They can also be used to grasp and manipulate tissues, sutures, and other prosthetic materials. 
Ligation: After clamping a vessel, the forceps hold it in place for ligation (tying it off), which permanently stops blood flow. 
Dissection: Some forceps, like Adson forceps, are used for delicate dissection and to provide a clear view of the surgical site","Tissue Damage: As forceps are crushing instruments, proper technique and appropriate forceps size are crucial to avoid damaging delicate tissues. 
Application: The choice between straight or curved forceps, and their size, depends on the location and type of structure being addressed. ","Pre-cleaning: Clean the instrument immediately after use to prevent the drying of biological matter. 
Solution: Use a neutral pH (pH 7) cleaning solution for manual or ultrasonic cleaning. 
Process: Clean the retractor in its open position to ensure thorough and effective cleaning of all parts. 
Tools: Use soft cloths, soft plastic brushes made of nylon, or water spray guns for cleaning. 
Drying: Dry instruments completely before sterilization or storage to prevent rust and microbial growth","Lubrication 
Frequency: Lubricate the movable and jointed parts of the retractor once a month.
Lubricant: Use a high-quality, surgical-grade instrument lubricant; do not use industrial oils.
Application: Ensure the lubricant reaches all moving parts for smooth operation and to prevent seizing.
Storage 
Environment: Store surgical instruments in a dry, clean environment.
Protection: Seal away instruments to prevent exposure to moisture, which can lead to oxidation and rust.
Inspection: Before use, visually inspect the retractor for any signs of corrosion, damage, or wear.",
,,"Allis Tissue Forceps 6""",General,"It is a stainless steel surgical instrument with a scissor-like design, a ratcheting handle, and interlocking teeth at its tip, used for securely grasping, holding, and lifting dense or slippery soft tissues such as fascia, bowel, or breast tissue during surgery to provide precision and control. ","Material: Made from durable, rust-resistant stainless steel for repeated sterilization and use. 
Design: Features finger-ring grips for a comfortable and controlled hold, and a ratcheting mechanism to lock the jaws in place. 
Jaws: The tips have sharp, interlocking teeth designed for a strong, non-slip grip on tissues. 
Length: An 8-inch (20 cm) length provides good reach for accessing deep tissues and structures. ",,"Tissue Manipulation: Used to lift, grasp, hold, and retract dense or slippery tissues during a procedure. 
Specific Tissues: Commonly used for holding breast tissue, bowel tissue, and fascia. 
Surgical Applications: Essential in general surgery and specialized procedures to maintain control over soft tissues. 
Tissue Handling Considerations: The sharp teeth are effective but can cause damage, so they are often employed on tissues intended for removal or on diseased tissues where unnecessary damage is less of a concern. ",,"Pre-cleaning: Clean the instrument immediately after use to prevent the drying of biological matter. 
Solution: Use a neutral pH (pH 7) cleaning solution for manual or ultrasonic cleaning. 
Process: Clean the retractor in its open position to ensure thorough and effective cleaning of all parts. 
Tools: Use soft cloths, soft plastic brushes made of nylon, or water spray guns for cleaning. 
Drying: Dry instruments completely before sterilization or storage to prevent rust and microbial growth","Lubrication 
Frequency: Lubricate the movable and jointed parts of the retractor once a month.
Lubricant: Use a high-quality, surgical-grade instrument lubricant; do not use industrial oils.
Application: Ensure the lubricant reaches all moving parts for smooth operation and to prevent seizing.
Storage 
Environment: Store surgical instruments in a dry, clean environment.
Protection: Seal away instruments to prevent exposure to moisture, which can lead to oxidation and rust.
Inspection: Before use, visually inspect the retractor for any signs of corrosion, damage, or wear.",
,,"Kocher Artery Forceps Straight 6""",General,"It is used by surgeons in various medical fields to firmly grasp and clamp bleeding blood vessels, especially in hard-to-reach areas, for hemostasis (controlling bleeding) and to manipulate tough tissues during surgical procedures.  ","A curved 8-inch Kocher artery forceps is a stainless steel surgical instrument with an 8-inch length, a curved shape, and a specialized 1x2 rat-tooth tip with transversely serrated jaws. ",They come in 2 different sizes of 6'' and 8''.The design can also be curved or straight.,"
Hemostasis: The primary use is to clamp and control bleeding from blood vessels during surgery by providing a firm grip. 
Grasping Tough Tissues: The strong, ratcheted grip is ideal for securing and holding tough tissues that require a firm hold. 
Accessing Deep Cavities: The curved design allows surgeons to reach and clamp vessels or tissues located in difficult-to-access areas, according to a product description. 
Wound Closure: Used in wound closure to manage bleeding and hold tissues in place. 
General Surgery: A versatile tool used in general surgery, orthopedics, gynecology, and cardiovascular surgery. ",,"Pre-cleaning: Clean the instrument immediately after use to prevent the drying of biological matter. 
Solution: Use a neutral pH (pH 7) cleaning solution for manual or ultrasonic cleaning. 
Process: Clean the retractor in its open position to ensure thorough and effective cleaning of all parts. 
Tools: Use soft cloths, soft plastic brushes made of nylon, or water spray guns for cleaning. 
Drying: Dry instruments completely before sterilization or storage to prevent rust and microbial growth","Lubrication 
Frequency: Lubricate the movable and jointed parts of the retractor once a month.
Lubricant: Use a high-quality, surgical-grade instrument lubricant; do not use industrial oils.
Application: Ensure the lubricant reaches all moving parts for smooth operation and to prevent seizing.
Storage 
Environment: Store surgical instruments in a dry, clean environment.
Protection: Seal away instruments to prevent exposure to moisture, which can lead to oxidation and rust.
Inspection: Before use, visually inspect the retractor for any signs of corrosion, damage, or wear.",
,,"Allis Tissue Forceps 8""",General,"It is a stainless steel surgical instrument with a scissor-like design, a ratcheting handle, and interlocking teeth at its tip, used for securely grasping, holding, and lifting dense or slippery soft tissues such as fascia, bowel, or breast tissue during surgery to provide precision and control. ","Material: Made from durable, rust-resistant stainless steel for repeated sterilization and use. 
Design: Features finger-ring grips for a comfortable and controlled hold, and a ratcheting mechanism to lock the jaws in place. 
Jaws: The tips have sharp, interlocking teeth designed for a strong, non-slip grip on tissues. 
Length: An 8-inch (20 cm) length provides good reach for accessing deep tissues and structures. ",,"Tissue Manipulation: Used to lift, grasp, hold, and retract dense or slippery tissues during a procedure. 
Specific Tissues: Commonly used for holding breast tissue, bowel tissue, and fascia. 
Surgical Applications: Essential in general surgery and specialized procedures to maintain control over soft tissues. 
Tissue Handling Considerations: The sharp teeth are effective but can cause damage, so they are often employed on tissues intended for removal or on diseased tissues where unnecessary damage is less of a concern. ",,"Pre-cleaning: Clean the instrument immediately after use to prevent the drying of biological matter. 
Solution: Use a neutral pH (pH 7) cleaning solution for manual or ultrasonic cleaning. 
Process: Clean the retractor in its open position to ensure thorough and effective cleaning of all parts. 
Tools: Use soft cloths, soft plastic brushes made of nylon, or water spray guns for cleaning. 
Drying: Dry instruments completely before sterilization or storage to prevent rust and microbial growth","Lubrication 
Frequency: Lubricate the movable and jointed parts of the retractor once a month.
Lubricant: Use a high-quality, surgical-grade instrument lubricant; do not use industrial oils.
Application: Ensure the lubricant reaches all moving parts for smooth operation and to prevent seizing.
Storage 
Environment: Store surgical instruments in a dry, clean environment.
Protection: Seal away instruments to prevent exposure to moisture, which can lead to oxidation and rust.
Inspection: Before use, visually inspect the retractor for any signs of corrosion, damage, or wear.",
,,"Kocher Artery Forceps Straight 8""",General,"It is used by surgeons in various medical fields to firmly grasp and clamp bleeding blood vessels, especially in hard-to-reach areas, for hemostasis (controlling bleeding) and to manipulate tough tissues during surgical procedures.  ","A curved 8-inch Kocher artery forceps is a stainless steel surgical instrument with an 8-inch length, a curved shape, and a specialized 1x2 rat-tooth tip with transversely serrated jaws. ",They come in 2 different sizes of 6'' and 8''.The design can also be curved or straight.,"
Hemostasis: The primary use is to clamp and control bleeding from blood vessels during surgery by providing a firm grip. 
Grasping Tough Tissues: The strong, ratcheted grip is ideal for securing and holding tough tissues that require a firm hold. 
Accessing Deep Cavities: The curved design allows surgeons to reach and clamp vessels or tissues located in difficult-to-access areas, according to a product description. 
Wound Closure: Used in wound closure to manage bleeding and hold tissues in place. 
General Surgery: A versatile tool used in general surgery, orthopedics, gynecology, and cardiovascular surgery. ",,"Pre-cleaning: Clean the instrument immediately after use to prevent the drying of biological matter. 
Solution: Use a neutral pH (pH 7) cleaning solution for manual or ultrasonic cleaning. 
Process: Clean the retractor in its open position to ensure thorough and effective cleaning of all parts. 
Tools: Use soft cloths, soft plastic brushes made of nylon, or water spray guns for cleaning. 
Drying: Dry instruments completely before sterilization or storage to prevent rust and microbial growth","Lubrication 
Frequency: Lubricate the movable and jointed parts of the retractor once a month.
Lubricant: Use a high-quality, surgical-grade instrument lubricant; do not use industrial oils.
Application: Ensure the lubricant reaches all moving parts for smooth operation and to prevent seizing.
Storage 
Environment: Store surgical instruments in a dry, clean environment.
Protection: Seal away instruments to prevent exposure to moisture, which can lead to oxidation and rust.
Inspection: Before use, visually inspect the retractor for any signs of corrosion, damage, or wear.",
,,"Kelly Artery Forceps, Straight, 8""",General,"A specialized surgical instrument for grasping and clamping blood vessels and tissues, especially to control bleeding.","Material: Typically made from high-quality, medical-grade stainless steel for durability and corrosion resistance.
Jaws: The jaws are straight and feature horizontal serrations (grooves) on their inner surface, which provide a secure, non-slip grip on vessels and tissues. The serrations run about half the length of the jaw.
Handle: The forceps have ergonomically designed finger rings and a ratchet locking mechanism. The locking mechanism allows the surgeon to clamp and hold the vessel or tissue in place without needing to continuously apply pressure.
Sterilization: The instrument is autoclavable, meaning it can be sterilized for reuse. ",,"This hemostat, or artery forceps, is commonly used in a variety of surgical procedures, such as:
Clamping blood vessels: To achieve hemostasis (stop bleeding) in small to medium-sized vessels.
Manipulating tissue: To hold or retract heavy tissues away from the surgical field.
Grasping sutures: Used for grasping sutures during procedures.
Dissecting tissue: For dissecting soft tissue.",,"Pre-cleaning: Clean the instrument immediately after use to prevent the drying of biological matter. 
Solution: Use a neutral pH (pH 7) cleaning solution for manual or ultrasonic cleaning. 
Process: Clean the retractor in its open position to ensure thorough and effective cleaning of all parts. 
Tools: Use soft cloths, soft plastic brushes made of nylon, or water spray guns for cleaning. 
Drying: Dry instruments completely before sterilization or storage to prevent rust and microbial growth","Lubrication 
Frequency: Lubricate the movable and jointed parts of the retractor once a month.
Lubricant: Use a high-quality, surgical-grade instrument lubricant; do not use industrial oils.
Application: Ensure the lubricant reaches all moving parts for smooth operation and to prevent seizing.
Storage 
Environment: Store surgical instruments in a dry, clean environment.
Protection: Seal away instruments to prevent exposure to moisture, which can lead to oxidation and rust.
Inspection: Before use, visually inspect the retractor for any signs of corrosion, damage, or wear.",
